aop_elements,aop_elements_id,sort,mark1,mark2,mark3,mark4,mark5,Acronym,Trendency,Label
"Increased, Appetite and hunger",574,KE,,,,,,,,N
Diminished protective oxidative stress response,1869,KE,,,,,,,,N
"Decrease, Glucose uptake",1951,KE,,,,,,,,N
beta-catenin activation,1755,KE,,,,,,,,N
"Reduction, 17-OH-progesterone conversion in androstenedione",1611,KE,,,,,,,,N
Disrupted meiotic initiation of fetal oogonia of the ovary,1882,KE,,,,,,,,N
"Reduction, NFAT/AP-1 complex formation",981,KE,,,,,,,,N
"Dopamine release in the brain, decreased",1388,KE,,,,,,,,N
"Increased, Plasma HCY level",1665,KE,,,,,,,,N
Overexpression of rasl11b,1886,KE,,,,,,,,N
"Induction, Liver “Dysfunctional” Changes by CGA 330050",164,KE,,,,,,,,N
Suppression of STAT5 binding to cytokine gene promoters,1717,KE,,,,,,,,N
Reduction of collagen crosslinking,1464,KE,,,,,,,,N
Unfolded Protein Response,1512,KE,,,,,,,,N
"Disruption, Progenitor cells of second heart field",1682,KE,,,,,,,,N
Decreased retinoic acid (RA) synthesis,1641,KE,,,,,,,,N
Reduction in melanin level,1629,KE,,,,,,,,N
"Disruption, action potential",1983,KE,,,,,,,,N
"Decreased, oligodendrocyte differentiation",2116,KE,,,,,,,,N
Activation of Tumor Protein 53,1974,KE,,,,,,,,N
"Induction, Somatic muscle paralysis",1014,KE,,,,,,,,N
"Activation, TGF-beta pathway",1283,KE,,,,,,,,N
"Induction, Male reproductive tract",1209,KE,,,,,,,,N
"Increased, Serum creatinine",813,KE,,,,,,,,N
"Decrease, Chitin laminar organization",2060,KE,,,,,,,,N
"Decrease, Calcium binding to Troponin C",1531,KE,,,,,,,,N
Loss of alveolar capillary membrane integrity,1498,KE,,,,,,,,N
"Reduction, Plasma progesterone concentration ",1693,KE,,,,,,,,N
"Increase, FA Influx",115,KE,,,,,,,,N
"Reduce expression, BDNF (Brain-derived neurotrophic factor)",1329,KE,,,,,,,,N
"Decreased, neuroplasticity",1330,KE,,,,,,,,N
Impaired axonial transport,1582,KE,,,,,,,,N
Increased reactive oxygen species (in the mitochondria),1546,KE,,,,,,,,N
"Decrease, Mitochondrial ATP production",40,KE,,,,,,,,N
"Decreased number and function of adult Leydig cells, Decreased COUP-TFII stem Leydig cells",656,KE,,,,,,,,N
"Decreased testosterone by the fetal Leydig cells, Dysgenesis of fetal Leydig cells",657,KE,,,,,,,,N
"decreased testosterone by fetal Leydig cells, Dysgenesis of fetal Leydig cells",660,KE,,,,,,,,N
"Glucocorticoid Receptor mediated alterations in steriodogenic enzymes, Decreased testosterone by adult Leydig cells",651,KE,,,,,,,,N
"Decreased testosterone by the fetal Leydig cells, Dysgensis of fetal Leydig cells",540,KE,,,,,,,,N
"Decreased steroidogenesis, Increased Apoptosis of Adult Leydig Cells",648,KE,,,,,,,,N
Inhibition of N-type Ca ion channels,1429,KE,,,,,,,,N
Opening of G protein gated inward rectifying K channels,1427,KE,,,,,,,,N
"Increase, Oxidative Stress / Activation, PMK-1 P38 MAPK",1279,KE,,,,,,,,N
"Decreased, serotonin transporter activity",1317,KE,,,,,,,,N
"Reduced, SHP activity",1420,KE,,,,,,,,N
"Activation, PPARα",227,KE,,,,,,,,N
"Accumulation, Damaged mitochondrial DNA",570,KE,,,,,,,,N
"Altered, Ca2+-calmodulin activated signal transduction",1243,KE,,,,,,,,N
"Activation, ChREBP",66,KE,,,,,,,,N
Activation Sema6A,2163,KE,,,,,,,,N
"Decreased, mucosal blood flow",1404,KE,,,,,,,,N
"Increased, leukocyte adherence",1410,KE,,,,,,,,N
"Occurrence, renal proximal tubular necrosis",1097,KE,,,,,,,,N
"Propagation, Oxidative stress",211,KE,,,,,,,,N
"Mucociliary Clearance, Decreased",1909,KE,,,,,,,,N
"Airway Surface Liquid Height, Decreased ",1907,KE,,,,,,,,N
"Motile Cilia Number/Length, Decreased",1912,KE,,,,,,,,N
"KE2 : Decrease, GTPCH-1",935,KE,,,,,,,,N
"Decreased, HSD17B10 expression",140,KE,,,,,,,,N
"Up Regulation, Unsaturated fatty acid",1285,KE,,,,,,,,N
"Decreased, bile flow",1058,KE,,,,,,,,N
"Increased, secretion of local growth factors",1032,KE,,,,,,,,N
"Reduction, Cholesterol transport in mitochondria",447,KE,,,,,,,,N
"Hyperplasia, Leydig cell",415,KE,,,,,,,,N
"Activated, NMDA receptor",1351,KE,,,,,,,,N
"Reduced, GABA-A receptor activation",1415,KE,,,,,,,,N
"Decreased, Aromatase (Cyp19a1) mRNA",800,KE,,,,,,,,N
"Alteration, lipid metabolism",1060,KE,,,,,,,,N
"Decrease, Chlorophyll synthesis",1473,KE,,,,,,,,N
"Increase, Opening of voltage-dependent calcium channel",1526,KE,,,,,,,,N
Increased SARS-CoV-2 production,1847,KE,,,,,,,,N
"Increased, packaged serotonin",1399,KE,,,,,,,,N
"Decreased, extracellular serotonin",1347,KE,,,,,,,,N
"Decreased, GABA release",1179,KE,,,,,,,,N
Respiratory distress/arrest,445,KE,,,,,,,,N
"Decreased, packaged serotonin",1324,KE,,,,,,,,N
"Increase, IL-23 from matured dendritic cells",1707,KE,,,,,,,,N
"Transcription of acute phase proteins, Increased",1438,KE,,,,,,,,N
"Increased, Viral susceptibility",576,KE,,,,,,,,N
"Changes/Inhibition, Cellular Homeostasis and Apoptosis",853,KE,,,,,,,,N
"Decrease, Oogenesis",1366,KE,,,,,,,,N
"Increase, Global DNA methylation",1827,KE,,,,,,,,N
"Decreased, myelin basic protein expression in oligodendrocytes",2105,KE,,,,,,,,N
"Decrease, Serum thyroid hormone (T4/T3)",771,KE,,,,,,,,N
"Hippocampal anatomy, Altered ",757,KE,,,,,,,,N
Activator protein 1 activation,1793,KE,,,,,,,,N
Increased blood CCK level,1722,KE,,,,,,,,N
"Increased, Thyroid-stimulating hormone (TSH)",1023,KE,,,,,,,,N
Decreased Na/K ATPase activity,1562,KE,,,,,,,,N
"Decrease, Glucose pool",2071,KE,,,,,,,,N
"Increased, HIF-1 alpha transcription",802,KE,,,,,,,,N
Loss of drebrin,2078,KE,,,,,,,,N
Trigeminal nerve activation,1220,KE,,,,,,,,N
Airway epithelial injury,1586,KE,,,,,,,,N
"Impaired, Spermatogenesis",1758,KE,,,,,,,,N
Increase Chromosomal Aberrations,1554,KE,,,,,,,,N
"Decreased, sheltering",629,KE,,,,,,,,N
induced spawning,1255,KE,,,,,,,,N
increased mantel display,1256,KE,,,,,,,,N
Induced parturition,1257,KE,,,,,,,,N
Hyperphosphorylation of Tau,1943,KE,,,,,,,,N
Angiotensin II degradation reduced,1936,KE,,,,,,,,N
Impaired coordination and movement,1705,KE,,,,,,,,N
"Occurrence, Focal Seizure",1623,KE,,,,,,,,N
"Activation, FOXO",1293,KE,,,,,,,,N
"Increased, Motility",1241,KE,,,,,,,,N
"Increase, Hyperplasia (glandular epithelial cells of endometrium)",772,KE,,,,,,,,N
Epithelial-mesenchymal transition,1650,KE,,,,,,,,N
"Damaging, Mitochondria",176,KE,,,,,,,,N
"Clonal Expansion/Cell Proliferation, to form Altered Hepatic Foci (AHF)",491,KE,,,,,,,,N
"reduced production, VEGF",948,KE,,,,,,,,N
"Delay, Ovarian maturation",2047,KE,,,,,,,,N
"Decreased, GnRH pulsatility/release",530,KE,,,,,,,,N
"Decrease, GLI1/2 target gene expression",2040,KE,,,,,,,,N
"Fatty Acid Beta Oxidation, Decreased",1528,KE,,,,,,,,N
"Increased, hyperplasia (mammary gland)",1085,KE,,,,,,,,N
"Failure in gamma-glutamyl carboxylation of  clotting factors II, VII, IX and X, Under carboxylation of clotting factors (e.g., des-gamma-carboxy prothrombin) ",1131,KE,,,,,,,,N
systemic inflammatory response syndrome,1844,KE,,,,,,,,N
"Increase, Hyperplasia (urothelial)",796,KE,,,,,,,,N
"Decreased positive estrogenic feedback on hypothalamus, Reduced estradiol in circulation decreases estrogen concentration at hypothalamus",967,KE,,,,,,,,N
"Reduction, Vitellogenin accumulation into oocytes and oocyte growth/development",309,KE,,,,,,,,N
"Decrease, sox9 expression",2020,KE,,,,,,,,N
"Altered, Cardiovascular development/function",317,KE,,,,,,,,N
"Increased, DNA damage and mutation",1669,KE,,,,,,,,N
"Increased, extracellular matrix deposition",1501,KE,,,,,,,,N
"Inhibition, UROD",845,KE,,,,,,,,N
"Overactivation, muscle contraction",601,KE,,,,,,,,N
"Proliferation/Clonal Expansion, smooth muscle",1042,KE,,,,,,,,N
Glutamate dyshomeostasis,1488,KE,,,,,,,,N
Immune mechanisms antagonized by viral proteins,2180,KE,,,,,,,,N
Imbalanced salty and sweet taste responses,1856,KE,,,,,,,,N
"Binding of agonist, Angiotensin II receptor type 1 receptor (AT1R)",1851,KE,,,,,,,,N
Increase of anti-DNA antibody from autoreactive B cell,1713,KE,,,,,,,,N
"Disturbed, radial glia cell alignment and migration",2112,KE,,,,,,,,N
"Generation, Amplified excitatory postsynaptic potential (EPSP)",682,KE,,,,,,,,N
Activation of calpain signalling,2038,KE,,,,,,,,N
decreased folate uptake,2026,KE,,,,,,,,N
Reduced levels of BDNF,381,KE,,,,,,,,N
"increased, Bax expression",2124,KE,,,,,,,,N
"Activation/Proliferation, T-cells",272,KE,,,,,,,,N
"Reduction, Eggshell thickness",106,KE,,,,,,,,N
"Reduced, Spawning behavior",673,KE,,,,,,,,N
"Decreased, Prostaglandin F2alpha synthesis, ovary  ",681,KE,,,,,,,,N
"Reduced, Luteinizing hormone (LH), plasma ",690,KE,,,,,,,,N
"Induction, persistent proliferation/sustained proliferation",1394,KE,,,,,,,,N
"Increase, Hyperplasia (terminal bronchiolar cells)",735,KE,,,,,,,,N
"Reduced, Antiseptic incorporated in food",580,KE,,,,,,,,N
"Increased, Luteinizing hormone (LH) ",754,KE,,,,,,,,N
"Reduced, Swimming performance",1005,KE,,,,,,,,N
Abnormal expression of NO,2166,KE,,,,,,,,N
"Increase, Pollen abnormal",1965,KE,,,,,,,,N
"Insufficiency, Vascular",298,KE,,,,,,,,N
"Increase, Ovarian somatic cell apoptosis",1776,KE,,,,,,,,N
"Increase, Caspase transcription (F3)",1779,KE,,,,,,,,N
"Increase,  impairment of cuticle sclerotization",2054,KE,,,,,,,,N
"Proliferation/Clonal Expansion, aberrant basal cells",1067,KE,,,,,,,,N
"Decrease, Circulating ecdysis triggering hormone",988,KE,,,,,,,,N
"Increase, hypermethylation of the promotor region of gonadotropin releasing hormone receptor",1698,KE,,,,,,,,N
"Platelet activation, Increased",1914,KE,,,,,,,,N
"Decreased, oxygen binding capacity by hemocyanin",2074,KE,,,,,,,,N
increased adipogenesis,1449,KE,,,,,,,,N
"Increase, Hyperplasia (forestomach epithelial cells)",782,KE,,,,,,,,N
"Increased, renal vitellogenin deposition",419,KE,,,,,,,,N
Increased adipocyte size,2127,KE,,,,,,,,N
"Increase, Vitellogenin synthesis in liver",307,KE,,,,,,,,N
"Decreased, Androgen and Progestin ",1987,KE,,,,,,,,N
"Increase, Body fluid overload",1769,KE,,,,,,,,N
"Activation, mTORC1",1300,KE,,,,,,,,N
"Activation, PTGS-2 (Prostaglandin-endoperoxide synthase 2)",1370,KE,,,,,,,,N
"Accumulation, Triglyceride",291,KE,,,,,,,,N
"Decreased, Lymphocytes",168,KE,,,,,,,,N
"Inhibition, Fin regeneration",1761,KE,,,,,,,,N
"N/A, Ataxia, paralysis, or hyperactivity",764,KE,,,,,,,,N
"interruption, Ovulation",1074,KE,,,,,,,,N
"prolonged, estrus",1075,KE,,,,,,,,N
"six1b expression, increased",1904,KE,,,,,,,,N
"Decrease, surfactant",1382,KE,,,,,,,,N
Prolongation of QT interval,1962,KE,,,,,,,,N
"Decreased, locomotion",635,KE,,,,,,,,N
Altered differentiation,1560,KE,,,,,,,,N
"Decreased, Testosterone",808,KE,,,,,,,,N
"Increase, Inflammation (corneal cells)",777,KE,,,,,,,,N
"Increased, Steroidogenic acute regulatory protein (StAR) ",1972,KE,,,,,,,,N
"Decreased, Progesterone from corpus luteum",749,KE,,,,,,,,N
"Abnormal, Glucose homeostasis",1952,KE,,,,,,,,N
Decreased plasma Cortisol level,1836,KE,,,,,,,,N
"Decrease, testosterone synthesis/level",1612,KE,,,,,,,,N
"Decrease, Bioactivation of testosterone",792,KE,,,,,,,,N
Reduced size of the ovarian follicle pool ,1883,KE,,,,,,,,N
"Suppression, IL-2 and IL-4 production",1202,KE,,,,,,,,N
"Locomotor activity, decreased",1389,KE,,,,,,,,N
"Sexual behavior, decreased",1390,KE,,,,,,,,N
"Induced, dysfunction of microcirculation",1666,KE,,,,,,,,N
"Inhibition, Inducible Nitric Oxide Synthase by Metabolite CGA 265307",147,KE,,,,,,,,N
Suppression of IL-4 production,1718,KE,,,,,,,,N
Weak collagen matrix,1465,KE,,,,,,,,N
"Increased, Induction of pyruvate dehydrogenase (PDH)",726,KE,,,,,,,,N
Decreased plasma RA level,1642,KE,,,,,,,,N
"Impaired, Proteostasis",889,KE,,,,,,,,N
"Thyroxine (T4) in neuronal tissue, Decreased ",280,KE,,,,,,,,N
Reduction of melanosome level,1630,KE,,,,,,,,N
Altered neurotransmission in development,2005,KE,,,,,,,,N
Hypomyelination,2107,KE,,,,,,,,N
"Increase, Cytotoxicity (epithelial cells)",780,KE,,,,,,,,N
"Increased, Uptake of thyroxine into tissue",960,KE,,,,,,,,N
"Increase, Respiratory or Squamous Metaplasia",869,KE,,,,,,,,N
Decreased spermatogenesis ,1798,KE,,,,,,,,N
"Occurrence, Cystic dilatation (renal tubule)",823,KE,,,,,,,,N
"Decrease, Prevent chitin degradation by chitinases",2061,KE,,,,,,,,N
"Decrease, Cardiac contractility ",1532,KE,,,,,,,,N
"Accumulation, Collagen",68,KE,,,,,,,,N
Reduced tidal volume ,1677,KE,,,,,,,,N
"Reduction, progesterone uptake, decresed maturation ",1694,KE,,,,,,,,N
"Inactivated, 5-HTR (serotonin receptors)",1328,KE,,,,,,,,N
Mitochondrial Injury,1547,KE,,,,,,,,N
"Direct effects of Corticosterone on steroidogenesis, Decreased testosterone by adult Leydig cells",652,KE,,,,,,,,N
"Decreased testosterone by the fetal Leydig cells, Decreased COUP-TFII stem Leydig cells",541,KE,,,,,,,,N
"Decreased steroidogenesis, Alterations in the Leydig Cell Cytoskeleton",649,KE,,,,,,,,N
Inhibition of neurotransmitter vesicle release,1430,KE,,,,,,,,N
"Activation, HIF-1",1280,KE,,,,,,,,N
"Decreased, extracellular sodium (Na+) ",1318,KE,,,,,,,,N
"Activated, LXR",1421,KE,,,,,,,,N
"Decreased, DHB4/HSD17B4",482,KE,,,,,,,,N
"Accelerated, Aging",571,KE,,,,,,,,N
"Down Regulation, CPT1A",472,KE,,,,,,,,N
"Increased, De Novo FA synthesis",458,KE,,,,,,,,N
"Activation, Dll4-Notch pathway",2164,KE,,,,,,,,N
increased，Vascular endothelial dysfunction,1928,KE,,,,,,,,N
"Reduced, mucosal defense",1405,KE,,,,,,,,N
"Increased, leukocyte activation",1411,KE,,,,,,,,N
"Increased, blood potassium concentration",1098,KE,,,,,,,,N
"Increase, Necrosis",1607,KE,,,,,,,,N
"Damaging, Red blood cells; hemolysis",250,KE,,,,,,,,N
"KE3 : Decrease, Tetrahydrobiopterin",934,KE,,,,,,,,N
Collagen Deposition,1275,KE,,,,,,,,N
"Down Regulation, GSS and GSTs gene",1286,KE,,,,,,,,N
"Injury, Mitochondria",832,KE,,,,,,,,N
Non-alcoholic fatty liver disease,2019,KE,,,,,,,,N
"Increased, cholestasis",1059,KE,,,,,,,,N
"Increased, proliferation of mesenchymal cells",1033,KE,,,,,,,,N
"Increase, Clonal Expansion of Altered Hepatic Foci",1171,KE,,,,,,,,N
"Increase proliferation, Leydig cell ",416,KE,,,,,,,,N
"Increased, intracellular sodium (Na+)",1321,KE,,,,,,,,N
"Decreased, intracellular chloride",1416,KE,,,,,,,,N
General Apoptosis,1513,KE,,,,,,,,N
"Decrease, Light harvest capacity",1474,KE,,,,,,,,N
"Sustentacular cells, decrease ",1870,KE,,,,,,,,N
Increased inflammatory immune responses,1750,KE,,,,,,,,N
"Increased, synaptic release",1400,KE,,,,,,,,N
"N/A, hypoxia",590,KE,,,,,,,,N
"Decreased, synaptic release",1325,KE,,,,,,,,N
Th17 cell migration and inflammation induction,1708,KE,,,,,,,,N
Systemic acute phase response,1439,KE,,,,,,,,N
"impaired, Development",577,KE,,,,,,,,N
"Alterations, Cellular proliferation / hyperplasia",854,KE,,,,,,,,N
"Impairment, Fourth pharyngeal arch development",1683,KE,,,,,,,,N
Activated ANG/Tie2 pathway,2170,KE,,,,,,,,N
"Impaired, oligodendrocyte maturation",2106,KE,,,,,,,,N
Brain thyroid hormone (T4/T3) decreased,2093,KE,,,,,,,,N
"Hippocampal Physiology, Altered",758,KE,,,,,,,,N
Pin-1 activation,1794,KE,,,,,,,,N
Increased exocrine secretion from pancreatic acinar cells,1723,KE,,,,,,,,N
"Increased, Thyroxine (T4) in serum",1828,KE,,,,,,,,N
"SP (Substance P) release, Local increase of SP",1222,KE,,,,,,,,N
Increased microRNA expression,1980,KE,,,,,,,,N
"Decreased, Neuronal network function in adult brain",618,KE,,,,,,,,N
"Decrease, Leaf development",1479,KE,,,,,,,,N
"Depletion, energy reserves",1143,KE,,,,,,,,N
Dysfunctional Autophagy,1945,KE,,,,,,,,N
"Induced, Angiotensin (Ang) II accumulation",1741,KE,,,,,,,,N
Dysregulation of heart rate and vascular tone,1703,KE,,,,,,,,N
"Inhibition, Wnt pathway",1294,KE,,,,,,,,N
"Increased, Migration (Endothelial Cells)",1190,KE,,,,,,,,N
Genomic instability,1896,KE,,,,,,,,N
Fibroblast proliferation and differentiation,2012,KE,,,,,,,,N
"Increased, glycolipid levels",2079,KE,,,,,,,,N
"Increased, Insufficient repair or mis-repair of pro-mutagenic DNA adducts",493,KE,,,,,,,,N
"Decreased, PCK1 expression (control point for glycolysis/gluconeogenesis pathway)",216,KE,,,,,,,,N
"abnormal, placental labyrinth vasculature morphology",1891,KE,,,,,,,,N
"Increase, Body volume of female adults",2048,KE,,,,,,,,N
"Increase, Hyperplasia (renal tubular cells)",767,KE,,,,,,,,N
"Reduction, the ratio of 17beta-estradiol/11-Keto Testosterone in plasma ",2139,KE,,,,,,,,N
"Decreased, Ketogenesis (production of ketone bodies)",861,KE,,,,,,,,N
"Increased, latency period",1080,KE,,,,,,,,N
"Blood loss and development of anemia, Impaired oxygen delivery and nutrient delivery to tissue, impaired carbon dioxide and waste product removal",1132,KE,,,,,,,,N
"Increased, secrection of FSH from anterior pituitary",1049,KE,,,,,,,,N
Increase cell proliferation,1555,KE,,,,,,,,N
"Activation, Macrophages",1198,KE,,,,,,,,N
"Decreased Kisspeptin release from neurons in AVPV, Decreased hypothalamic estrogen reduces kisspeptinergic neuron response ",968,KE,,,,,,,,N
"Accumulation, Highly carboxylated porphyrins",846,KE,,,,,,,,N
"Increased, Ataxia, paralysis, or hyperactivity",602,KE,,,,,,,,N
"Hypertrophy/hyperplasia, smooth muscle",1043,KE,,,,,,,,N
Synaptic dysfunction,1944,KE,,,,,,,,N
Influenza A Virus (IAV) budding,2193,KE,,,,,,,,N
"Intestinal barrier, disruption",1931,KE,,,,,,,,N
Toll Like Receptor (TLR) Dysregulation,1848,KE,,,,,,,,N
Impaired gustatory nerve,1849,KE,,,,,,,,N
"Decreased, radial glia cell density",2113,KE,,,,,,,,N
"Occurrence, A paroxysmal depolarizing shift",616,KE,,,,,,,,N
Increased sphingolipid-1-phosphate,2033,KE,,,,,,,,N
"Altered, Chromosome number",723,KE,,,,,,,,N
"Aberrant, Dendritic morphology",382,KE,,,,,,,,N
"Activation, Microglia",1998,KE,,,,,,,,N
"N/A, Gap",119,KE,,,,,,,,N
"Reduced, Maturation inducing steroid, plasma",691,KE,,,,,,,,N
Activation of MMP-2 MMP-9,2167,KE,,,,,,,,N
"Increase, Mutations in Critical Genes",876,KE,,,,,,,,N
"Increase, Pro-Inflammatory Mediators",2097,KE,,,,,,,,N
Altered Bone Cell Homeostasis,2089,KE,,,,,,,,N
"Increase, Ovarian follicle breakdown",1777,KE,,,,,,,,N
"Increase, Oocyte apoptosis (F3)",1780,KE,,,,,,,,N
"Increase, Ovarian somatic cell apoptosis (F3)",1783,KE,,,,,,,,N
"Increase,  pigmentation",2055,KE,,,,,,,,N
"squamous metaplasia, aberrant basal cells",1068,KE,,,,,,,,N
"Decrease, Circulating crustacean cardioactive peptide",1266,KE,,,,,,,,N
"Decrease, expression of gonadotropin releasing hormone receptor",1699,KE,,,,,,,,N
"Neutrophil activation, Increased ",1915,KE,,,,,,,,N
"Cognitive, sensed as hypoxic/low oxygen environment",2075,KE,,,,,,,,N
decreased dopamine,1450,KE,,,,,,,,N
"Increased, glomerular rupture and renal hemorrhaging",421,KE,,,,,,,,N
Increased adipocyte numbers,2128,KE,,,,,,,,N
"Increase, Renal pathology due to VTG deposition",252,KE,,,,,,,,N
"Decreased, Maturation Inducing Steroid Surge by Granulosa cells",1988,KE,,,,,,,,N
"Inhibition, PTGS-2 (Prostaglandin-endoperoxide synthase 2)",1371,KE,,,,,,,,N
"Reduction, fetal/adult testosterone ",446,KE,,,,,,,,N
"Induction, IKB inhibitory protein",145,KE,,,,,,,,N
"eya1 expression, inhibited",1905,KE,,,,,,,,N
Torsades de Pointes,1963,KE,,,,,,,,N
Spermatocyte depletion,1515,KE,,,,,,,,N
"malformed, Male reproductive tract",809,KE,,,,,,,,N
"Increase, Regenerative cell proliferation (corneal cells)",778,KE,,,,,,,,N
Increased Sodium-sensitive hypertension,1855,KE,,,,,,,,N
"Activation, Tissue resident cells (Kuppfer cells)",1576,KE,,,,,,,,N
Immune cell activation,1818,KE,,,,,,,,N
Leukocyte recruitment/activation,1494,KE,,,,,,,,N
Decreased proximal tubular vectorial transport,1563,KE,,,,,,,,N
"Increased, Oncotic Necrosis",1491,KE,,,,,,,,N
"Decreased, Eye size",1878,KE,,,,,,,,N
"Induction, Sustained Hepatotoxicity",270,KE,,,,,,,,N
"Increase, Hypertrophy and proliferation (follicular cell)",739,KE,,,,,,,,N
Notochord distortion or malformations,1466,KE,,,,,,,,N
Activation of hepatic stellate cells,1606,KE,,,,,,,,N
"Increase, Oxidative metabolism",769,KE,,,,,,,,N
"Altered, Visual function",1643,KE,,,,,,,,N
Reduction fo Pigmentation pattern ,1631,KE,,,,,,,,N
"Altered, white brain matter",2108,KE,,,,,,,,N
Premature cell differentiation,1979,KE,,,,,,,,N
"Occurrence, Cytoplasmic vacuolization (podocyte)",824,KE,,,,,,,,N
"Weak, Procuticle protection",2062,KE,,,,,,,,N
"Decrease, Cardiac ejection fraction ",1533,KE,,,,,,,,N
"Activation, Transforming Growth Factor beta pathway",1469,KE,,,,,,,,N
Impaired ovulation,1695,KE,,,,,,,,N
"Activation, SREBP-1c",264,KE,,,,,,,,N
"Increase, Cardiac remodelling",2084,KE,,,,,,,,N
"Increased, DNA Damage-Repair",1281,KE,,,,,,,,N
"Decreased, extracellular chloride (Cl-)",1319,KE,,,,,,,,N
"Reduced, PPARalpha",1422,KE,,,,,,,,N
"Overwhelmed, Mitochondrial DNA repair mechanisms",664,KE,,,,,,,,N
"Down Regulation, HMGCS2",474,KE,,,,,,,,N
"Increased, Triglyceride formation",454,KE,,,,,,,,N
Angiogenesis dysfunction,2181,KE,,,,,,,,N
"Decreased, mucous",1406,KE,,,,,,,,N
"Occurrence, tophi (urate) deposition",1102,KE,,,,,,,,N
"Formation, Formation of hemoglobin adducts",118,KE,,,,,,,,N
"KE4 : Uncoupling, eNOS",932,KE,,,,,,,,N
"Decreased, 3-hydroxyacyl-CoA dehydrogenase type-2 activity",8,KE,,,,,,,,N
Glutathione synthesis,1287,KE,,,,,,,,N
"Occurrence, Cytoplasmic vacuolization (hepatocyte)",833,KE,,,,,,,,N
"Inhibition, Fatty acid oxidation ",2065,KE,,,,,,,,N
"Increased, IGF-1 (mouse)",1034,KE,,,,,,,,N
"Activated, voltage-gated sodium channel",1352,KE,,,,,,,,N
"Activated, membrane depolarization",1355,KE,,,,,,,,N
"Activation, Stellate cells",265,KE,,,,,,,,N
"olfactory sensory neurons, decrease ",1871,KE,,,,,,,,N
"Increased, activation of T (T) helper (h) type 2 cells",1499,KE,,,,,,,,N
"Abnormalities, Cardiac outflow tract formation",1684,KE,,,,,,,,N
"Altered, retinal layer structure",1877,KE,,,,,,,,N
Latent Transforming growth Factor beta expression,1795,KE,,,,,,,,N
Acinar cell proliferation,1724,KE,,,,,,,,N
"Decrease, elavl3 ",2196,KE,,,,,,,,N
"Occurrence, (Micro)vascular dysfunction",2096,KE,,,,,,,,N
"Increased CGRP, neuronal release of CGRP",1433,KE,,,,,,,,N
Decreased SIRT1 expression,1981,KE,,,,,,,,N
"Increased, foot detachment",624,KE,,,,,,,,N
"Accumulation, Cytosolic toxic Tau oligomers",1942,KE,,,,,,,,N
Hyperactivation of ACE/Ang-II/AT1R axis,1853,KE,,,,,,,,N
Defect of Embryogenesis,1295,KE,,,,,,,,N
"Increased, Invasion",1196,KE,,,,,,,,N
"increase, placental insufficiency",1892,KE,,,,,,,,N
"Increase, sex ratio (F/M)",2049,KE,,,,,,,,N
"Delayed, Ovulation",532,KE,,,,,,,,N
"Not Increased, Circulating Ketone Bodies",862,KE,,,,,,,,N
"Hemostasis, Depletion from blood of fully functional carboxylated clotting factors",1133,KE,,,,,,,,N
Pulmonary epithelial injury,2085,KE,,,,,,,,N
"Decreased GnRH Release, Decreased Kisspeptin stimulation of GnRH neurons ",969,KE,,,,,,,,N
Coagulation,1845,KE,,,,,,,,N
"Disturbed, cortical architecture",2114,KE,,,,,,,,N
"Decreased, Nitric Oxide",193,KE,,,,,,,,N
Histone deacetylase inhibition,1502,KE,,,,,,,,N
"Production, Reactive oxygen species",249,KE,,,,,,,,N
Decrease of synaptogenesis,385,KE,,,,,,,,N
"Increased, Cell Proliferation (mesothelium)",1089,KE,,,,,,,,N
"Occurrence, cardiac arrhythmia",1106,KE,,,,,,,,N
"Reduced, Maturation inducing steroid receptor signalling, oocyte",692,KE,,,,,,,,N
"Reduced, Food storage",561,KE,,,,,,,,N
Activation of angiopoietin like protein 4,2168,KE,,,,,,,,N
"Increase, Neural Remodeling",2098,KE,,,,,,,,N
"Increase, Bone Remodeling",2090,KE,,,,,,,,N
"Altered, Nitric Oxide Levels",2067,KE,,,,,,,,N
"Decrease, Oogenesis (F3)",1782,KE,,,,,,,,N
"Increase, Ovarian follicle breakdown (F3)",1784,KE,,,,,,,,N
"Increase, Incomplete ecdysis",990,KE,,,,,,,,N
"Increased, Hyperplasia (glandular epithelial cells of endometrium)",1069,KE,,,,,,,,N
"Decrease, Ecdysis motoneuron bursts",1267,KE,,,,,,,,N
"Platelet-neutrophil interactions, Increased ",1857,KE,,,,,,,,N
"Increase, hemocyanin mRNA",2076,KE,,,,,,,,N
decreased reward,1451,KE,,,,,,,,N
"Increased, nephropathy",422,KE,,,,,,,,N
Increased fat mass,2125,KE,,,,,,,,N
Impaired insulin signaling,2144,KE,,,,,,,,N
"Increased, ER binding to DNA (classical pathway) ",1187,KE,,,,,,,,N
"Impaired, Oocyte maturation and ovulation",1989,KE,,,,,,,,N
Abnormal lipid metabolism,1995,KE,,,,,,,,N
"Increase, bicarbonate ",1372,KE,,,,,,,,N
"Induction, pharyngeal muscle paralysis",1019,KE,,,,,,,,N
"Increased, circulating estrogen levels",1076,KE,,,,,,,,N
"Increase, proinflammatory mediators (TNFalpha)",1579,KE,,,,,,,,N
IFNγ signaling,1819,KE,,,,,,,,N
decreased oocyte maturation,1837,KE,,,,,,,,N
"Induction, Sustained Cell Proliferation",269,KE,,,,,,,,N
"Increase, Hyperplasia (follicular cells)",740,KE,,,,,,,,N
